Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
12-JUN-2013,19.49,19.85,18.75,18.85,19.49,-0.64,-3.28
13-JUN-2013,18.85,19.77,17.76,19.44,18.85,0.59,3.13
14-JUN-2013,19.44,19.44,17.65,18.35,19.44,-1.09,-5.61
17-JUN-2013,18.28,19.35,18.13,18.18,18.35,-0.17,-0.93
18-JUN-2013,17.89,18.85,17.89,18.29,18.18,0.11,0.61
19-JUN-2013,18.29,18.68,17.75,18.46,18.29,0.17,0.93
20-JUN-2013,18.46,19.74,17.85,19.19,18.46,0.73,3.95
21-JUN-2013,19.19,19.73,18.19,19.03,19.19,-0.16,-0.83
24-JUN-2013,19.03,21.79,18.48,21.01,19.03,1.98,10.40
25-JUN-2013,21.01,22.11,20.33,21.14,21.01,0.13,0.62
26-JUN-2013,21.14,21.22,20.08,21.07,21.14,-0.07,-0.33
27-JUN-2013,21.07,21.07,18.62,18.85,21.07,-2.22,-10.54
28-JUN-2013,18.85,18.85,17.62,17.95,18.85,-0.90,-4.77
01-JUL-2013,17.95,18.72,17.95,18.09,17.95,0.14,0.78
02-JUL-2013,18.09,18.55,17.98,18.21,18.09,0.12,0.66
03-JUL-2013,18.21,19.13,17.81,18.91,18.21,0.70,3.84
04-JUL-2013,18.91,19,18,18.58,18.91,-0.33,-1.75
05-JUL-2013,18.58,19.01,17.75,18.67,18.58,0.09,0.48
08-JUL-2013,18.67,19.85,18.38,19.34,18.67,0.67,3.59
09-JUL-2013,19.34,19.53,18.41,19.32,19.34,-0.02,-0.10
10-JUL-2013,19.32,20.11,18.33,19.98,19.32,0.66,3.42
11-JUL-2013,19.98,19.98,18.13,18.89,19.98,-1.09,-5.46
12-JUL-2013,18.89,18.96,17.68,18.69,18.89,-0.20,-1.06
15-JUL-2013,18.69,19.54,17.63,18.79,18.69,0.10,0.54
16-JUL-2013,18.79,19.82,17.79,18.99,18.79,0.20,1.06
17-JUL-2013,18.99,19.59,17.76,19.36,18.99,0.37,1.95
18-JUL-2013,19.36,19.4,18.07,18.27,19.36,-1.09,-5.63
19-JUL-2013,18.27,18.28,17.71,18.13,18.27,-0.14,-0.77
22-JUL-2013,18.03,18.66,17.62,17.63,18.13,-0.50,-2.76
23-JUL-2013,17.63,17.63,16.43,16.72,17.63,-0.91,-5.16
24-JUL-2013,16.72,18.05,16.6,16.91,16.72,0.19,1.14
25-JUL-2013,16.98,17.09,16.18,16.72,16.91,-0.19,-1.12
26-JUL-2013,16.54,17.05,16.27,16.78,16.72,0.06,0.36
29-JUL-2013,16.78,18.42,16.78,18.25,16.78,1.47,8.76
30-JUL-2013,18.25,18.46,17.06,18.12,18.25,-0.13,-0.71
31-JUL-2013,18.12,19.29,18.12,18.77,18.12,0.65,3.59
01-AUG-2013,18.77,20.9,17.72,19.81,18.77,1.04,5.54
02-AUG-2013,19.81,21.22,19,20.89,19.81,1.08,5.45
05-AUG-2013,20.89,21.62,20.56,20.8,20.89,-0.09,-0.43
06-AUG-2013,20.8,22.75,20.32,22.73,20.8,1.93,9.28
07-AUG-2013,22.73,23.28,21.86,22.04,22.73,-0.69,-3.04
08-AUG-2013,22.04,22.04,20.59,21.19,22.04,-0.85,-3.86
12-AUG-2013,21.19,21.99,20.17,21.28,21.19,0.09,0.42
13-AUG-2013,20.26,21.11,19.07,19.26,21.28,-2.02,-9.49
14-AUG-2013,19.26,19.62,18.27,18.7,19.26,-0.56,-2.91
16-AUG-2013,18.7,24.76,18.07,23.64,18.7,4.94,26.42
19-AUG-2013,23.64,26.99,23.64,25.59,23.64,1.95,8.25
20-AUG-2013,25.59,27.43,24.86,27.23,25.59,1.64,6.41
21-AUG-2013,27.23,29.96,24.25,28.09,27.23,0.86,3.16
22-AUG-2013,28.09,29.86,27.99,27.68,28.09,-0.41,-1.46
23-AUG-2013,27.68,27.84,25.34,25.75,27.68,-1.93,-6.97
26-AUG-2013,25.75,27.43,24.72,26.38,25.75,0.63,2.45
27-AUG-2013,26.38,30.04,25.97,29.42,26.38,3.04,11.52
28-AUG-2013,29.42,36.02,29.42,32.38,29.42,2.96,10.06
29-AUG-2013,32.38,32.44,28.83,29.41,32.38,-2.97,-9.17
30-AUG-2013,29.41,30.31,27.11,27.81,29.41,-1.60,-5.44
02-SEP-2013,27.81,28.55,26.97,27.55,27.81,-0.26,-0.93
03-SEP-2013,27.55,32.66,26.76,32.49,27.55,4.94,17.93
04-SEP-2013,32.49,33.02,30.83,31.11,32.49,-1.38,-4.25
05-SEP-2013,31.11,31.11,27.51,28.53,31.11,-2.58,-8.29
06-SEP-2013,28.53,29.28,27.63,28.65,28.53,0.12,0.42
10-SEP-2013,28.65,29.52,27.09,29.44,28.65,0.79,2.76
11-SEP-2013,29.44,31.16,28.48,29.75,29.44,0.31,1.05
12-SEP-2013,29.75,30.8,26.7,29.71,29.75,-0.04,-0.13
13-SEP-2013,29.71,29.71,28.17,28.29,29.71,-1.42,-4.78
16-SEP-2013,28.29,29.67,25.9,28.82,28.29,0.53,1.87
17-SEP-2013,28.82,29.58,27.6,27.93,28.82,-0.89,-3.09
18-SEP-2013,27.93,28.49,26.99,27.69,27.93,-0.24,-0.86
19-SEP-2013,23.62,25.36,23.56,24.5,27.69,-3.19,-11.52
20-SEP-2013,24.5,26.18,23.4,24.73,24.5,0.23,0.94
23-SEP-2013,24.73,27.24,24.73,27.02,24.73,2.29,9.26
24-SEP-2013,27.02,28.49,26.27,26.72,27.02,-0.30,-1.11
25-SEP-2013,26.72,27.05,25.05,25.68,26.72,-1.04,-3.89
26-SEP-2013,25.68,25.8,23.57,24,25.68,-1.68,-6.54
27-SEP-2013,24,25.24,23.36,24.06,24,0.06,0.25
30-SEP-2013,25,26.65,24.91,26.65,24.06,2.59,10.76
01-OCT-2013,26.65,28.02,25.74,25.77,26.65,-0.88,-3.30
03-OCT-2013,25.77,25.89,24.93,25.17,25.77,-0.60,-2.33
04-OCT-2013,24.5,26.74,24.5,26.13,25.17,0.96,3.81
07-OCT-2013,26.13,27.93,26.13,26.83,26.13,0.70,2.68
08-OCT-2013,26.83,27.38,24.65,26.55,26.83,-0.28,-1.04
09-OCT-2013,26.03,27.16,25.75,25.87,26.55,-0.68,-2.56
10-OCT-2013,25.87,26.95,25.02,25.88,25.87,0.01,0.04
11-OCT-2013,23.08,25.42,23.08,23.59,25.88,-2.29,-8.85
14-OCT-2013,23.59,24.42,22.72,22.85,23.59,-0.74,-3.14
15-OCT-2013,22.85,23.99,20.91,23.24,22.85,0.39,1.71
17-OCT-2013,23.24,23.24,21.02,21.06,23.24,-2.18,-9.38
18-OCT-2013,21.06,21.06,19.32,20.12,21.06,-0.94,-4.46
21-OCT-2013,19.16,21.1,19.16,20.18,20.12,0.06,0.30
22-OCT-2013,20.18,20.43,19.21,19.96,20.18,-0.22,-1.09
23-OCT-2013,19.96,20.79,18.76,20.35,19.96,0.39,1.95
24-OCT-2013,20.35,21.27,19.2,20.64,20.35,0.29,1.43
25-OCT-2013,20.64,21.04,19.87,20.42,20.64,-0.22,-1.07
28-OCT-2013,20.42,21.56,20.11,21.29,20.42,0.87,4.26
29-OCT-2013,21.29,21.54,19.6,19.76,21.29,-1.53,-7.19
30-OCT-2013,19.76,20.06,18.84,19.53,19.76,-0.23,-1.16
31-OCT-2013,19.53,19.75,18.21,18.39,19.53,-1.14,-5.84
01-NOV-2013,18.39,19.39,17.86,18.64,18.39,0.25,1.36
03-NOV-2013,18.64,19.53,18.24,19.49,18.64,0.85,4.56
05-NOV-2013,19.49,20.26,19.28,19.94,19.49,0.45,2.31
06-NOV-2013,19.94,20.46,18.55,20.25,19.94,0.31,1.55
07-NOV-2013,20.25,20.63,19.62,19.87,20.25,-0.38,-1.88
08-NOV-2013,19.87,20.49,19.16,19.64,19.87,-0.23,-1.16
11-NOV-2013,19.64,20.71,19.32,19.98,19.64,0.34,1.73
12-NOV-2013,19.98,20.86,18.73,20.86,19.98,0.88,4.40
13-NOV-2013,20.86,21.12,20.15,20.45,20.86,-0.41,-1.97
14-NOV-2013,18.62,19.6,18.58,19.26,20.45,-1.19,-5.82
18-NOV-2013,19.26,19.55,17.48,18.82,19.26,-0.44,-2.28
19-NOV-2013,17.7,19.39,17.7,19.3,18.82,0.48,2.55
20-NOV-2013,19.3,20.88,18.24,20.83,19.3,1.53,7.93
21-NOV-2013,20.83,22.36,19.76,21.14,20.83,0.31,1.49
22-NOV-2013,21.14,21.32,19.97,20.04,21.14,-1.10,-5.20
25-NOV-2013,20.04,21.27,19.49,21.05,20.04,1.01,5.04
26-NOV-2013,21.05,22.01,20.3,21.59,21.05,0.54,2.57
27-NOV-2013,21.59,22.01,20.54,21.14,21.59,-0.45,-2.08
28-NOV-2013,20.18,20.91,20.18,20.71,21.14,-0.43,-2.03
29-NOV-2013,20.37,21.53,20.25,21.38,20.71,0.67,3.24
02-DEC-2013,21.38,23.36,21.3,23.36,21.38,1.98,9.26
03-DEC-2013,23.36,25.09,22.96,24.72,23.36,1.36,5.82
04-DEC-2013,24.72,25.45,23.34,23.71,24.72,-1.01,-4.09
05-DEC-2013,20.58,22.07,20.08,21.68,23.71,-2.03,-8.56
06-DEC-2013,21.68,22.36,21.08,22.21,21.68,0.53,2.44
09-DEC-2013,22.21,22.21,18.09,19.16,22.21,-3.05,-13.73
10-DEC-2013,19.16,19.16,17.96,17.98,19.16,-1.18,-6.16
11-DEC-2013,17.98,18.53,17.08,17.54,17.98,-0.44,-2.45
12-DEC-2013,17.03,17.93,17.03,17.74,17.54,0.20,1.14
13-DEC-2013,16.79,18,16.79,17.84,17.74,0.10,0.56
16-DEC-2013,17.84,18.76,17.54,18.36,17.84,0.52,2.91
17-DEC-2013,18.36,18.61,17.13,18.33,18.36,-0.03,-0.16
18-DEC-2013,18.33,18.46,17.06,17.54,18.33,-0.79,-4.31
19-DEC-2013,17.54,17.54,15.63,16.58,17.54,-0.96,-5.47
20-DEC-2013,16.58,16.72,15.51,16.02,16.58,-0.56,-3.38
23-DEC-2013,16.02,17.13,15.91,16.26,16.02,0.24,1.50
24-DEC-2013,16.26,16.94,15.52,15.58,16.26,-0.68,-4.18
26-DEC-2013,15.58,16.27,14.62,14.88,15.58,-0.70,-4.49
27-DEC-2013,14.88,15.51,14.62,14.66,14.88,-0.22,-1.48
30-DEC-2013,14.66,15.52,14.66,15.08,14.66,0.42,2.86
31-DEC-2013,15.08,15.44,14.75,15.12,15.08,0.04,0.27
01-JAN-2014,15.12,15.58,15.1,15.58,15.12,0.46,3.04
02-JAN-2014,15.58,16.97,15.33,16.55,15.58,0.97,6.23
03-JAN-2014,16.55,17.32,15.79,15.87,16.55,-0.68,-4.11
06-JAN-2014,15.87,16.91,15.87,16.5,15.87,0.63,3.97
07-JAN-2014,16.5,16.91,16.1,16.32,16.5,-0.18,-1.09
08-JAN-2014,16.32,16.48,15.82,16.32,16.32,0.00,0.00
09-JAN-2014,16.32,16.64,15.9,16.18,16.32,-0.14,-0.86
10-JAN-2014,16.18,16.37,15.02,15.58,16.18,-0.60,-3.71
13-JAN-2014,15.58,16.03,14.61,15.95,15.58,0.37,2.37
14-JAN-2014,15.95,16.27,15.13,15.74,15.95,-0.21,-1.32
15-JAN-2014,15.74,15.88,14.7,15.42,15.74,-0.32,-2.03
16-JAN-2014,15.42,15.82,14.4,15.54,15.42,0.12,0.78
17-JAN-2014,15.54,15.83,14.1,15.41,15.54,-0.13,-0.84
20-JAN-2014,15.41,16.07,14.77,15.35,15.41,-0.06,-0.39
21-JAN-2014,15.35,15.71,13.88,15.55,15.35,0.20,1.30
22-JAN-2014,15.55,15.87,14.92,15.85,15.55,0.30,1.93
23-JAN-2014,15.85,16.03,15.14,15.58,15.85,-0.27,-1.70
24-JAN-2014,15.58,16.18,15.24,15.83,15.58,0.25,1.60
27-JAN-2014,15.83,18.67,15.83,18.67,15.83,2.84,17.94
28-JAN-2014,18.67,18.72,17.61,17.72,18.67,-0.95,-5.09
29-JAN-2014,17.72,18.15,16.73,18.04,17.72,0.32,1.81
30-JAN-2014,18.04,18.34,17.07,17.25,18.04,-0.79,-4.38
31-JAN-2014,17.25,17.33,16.64,16.82,17.25,-0.43,-2.49
03-FEB-2014,16.82,18.34,16.82,18.27,16.82,1.45,8.62
04-FEB-2014,18.27,19.82,18.05,18.69,18.27,0.42,2.30
05-FEB-2014,18.69,20.09,17.74,18.93,18.69,0.24,1.28
06-FEB-2014,18.93,20.23,18,18.94,18.93,0.01,0.05
07-FEB-2014,18.94,19.11,17.7,18.55,18.94,-0.39,-2.06
10-FEB-2014,18.55,19.2,17.58,19.05,18.55,0.50,2.70
11-FEB-2014,19.05,19.05,17.4,18.63,19.05,-0.42,-2.20
12-FEB-2014,18.63,18.63,16.12,17.43,18.63,-1.20,-6.44
13-FEB-2014,17.43,17.96,15.22,17.8,17.43,0.37,2.12
14-FEB-2014,17.8,17.83,15.61,16.66,17.8,-1.14,-6.40
17-FEB-2014,16.66,17.02,15.54,15.83,16.66,-0.83,-4.98
18-FEB-2014,15.83,15.83,13.68,15.41,15.83,-0.42,-2.65
19-FEB-2014,15.41,15.41,14.05,15.07,15.41,-0.34,-2.21
20-FEB-2014,15.07,15.72,14.27,15.16,15.07,0.09,0.60
21-FEB-2014,15.16,15.16,13.88,14.04,15.16,-1.12,-7.39
24-FEB-2014,14.04,14.8275,13.685,14.3575,14.04,0.32,2.26
25-FEB-2014,14.3575,14.3575,13.5325,13.95,14.3575,-0.41,-2.84
26-FEB-2014,13.95,14.195,13.2375,13.955,13.95,0.01,0.04
28-FEB-2014,13.955,14.87,13.545,14.1775,13.955,0.22,1.59
03-MAR-2014,14.1775,15.7325,13.9425,15.2825,14.1775,1.11,7.79
04-MAR-2014,15.2825,15.3675,13.9275,14.3925,15.2825,-0.89,-5.82
05-MAR-2014,14.3925,14.4325,13.335,13.8425,14.3925,-0.55,-3.82
06-MAR-2014,13.8425,14.6425,12.5,14.475,13.8425,0.63,4.57
07-MAR-2014,14.475,16.905,13.2625,16.72,14.475,2.24,15.51
10-MAR-2014,16.72,17.9875,15.95,17.7775,16.72,1.06,6.32
11-MAR-2014,17.7775,17.9225,14.2675,17.325,17.7775,-0.45,-2.55
12-MAR-2014,17.325,17.44,16.0875,17.04,17.325,-0.29,-1.65
13-MAR-2014,17.04,17.0825,14.65,16.82,17.04,-0.22,-1.29
14-MAR-2014,16.82,17.2875,14.2875,16.4475,16.82,-0.37,-2.21
18-MAR-2014,16.4475,17.555,15.73,17.1275,16.4475,0.68,4.13
19-MAR-2014,17.1275,17.325,15.6675,16.8825,17.1275,-0.25,-1.43
20-MAR-2014,16.8825,17.145,15.4125,16.91,16.8825,0.03,0.16
21-MAR-2014,16.91,16.91,14.3875,16.185,16.91,-0.73,-4.29
22-MAR-2014,16.185,16.185,13.135,15.875,16.185,-0.31,-1.92
24-MAR-2014,15.875,17.2,15.235,16.5375,15.875,0.66,4.17
25-MAR-2014,16.5375,17.1275,15.415,16.92,16.5375,0.38,2.31
26-MAR-2014,16.92,18.2525,15.72,17.765,16.92,0.84,4.99
27-MAR-2014,17.765,18.725,17.235,18.3725,17.765,0.61,3.42
28-MAR-2014,18.3725,19.15,17.095,18.63,18.3725,0.26,1.40
31-MAR-2014,18.63,21.8,17.49,21.6225,18.63,2.99,16.06
